Title,Speaker,Scripture,Date_Dirty,Date,YouTube URL,ID,Sort ID,Spotify URL
Expecting - Good News of Great Joy: Jesus,Ryan King,Matthew 1:18-25,Sun Dec 19 2021 00:00:00 GMT+0000 (Greenwich Mean Time),19 December 2021,,4nKSjeaCxE0,240,
Fear Not,Ryan King,Luke 2:10-12,Sun Dec 12 2021 00:00:00 GMT+0000 (Greenwich Mean Time),12 December 2021,,Mc4y4nxpiPM,239,https://open.spotify.com/episode/7wq1blNq9FWEedIrtfgocC
Expecting - Good News of Great Joy: John,Ryan King,Luke 1:5-29,Sun Dec 12 2021 00:00:00 GMT+0000 (Greenwich Mean Time),12 December 2021,,RHmL7zUBv04,238,
Blessed Be the Father of Our Lord Jesus,Israel Silva,1 Peter 1:3,Sun Dec 05 2021 00:00:00 GMT+0000 (Greenwich Mean Time),05 December 2021,,lGGxv6OB6gw,237,https://open.spotify.com/episode/5UBikChLypKQvT4DUE5B20
Expecting - Good News of Great Joy: Solomon,Ryan King,1 Chronicles 22:1-10,Sun Dec 05 2021 00:00:00 GMT+0000 (Greenwich Mean Time),05 December 2021,,BpFfWtqQCmY,236,
Expecting - Good News of Great Joy: Samson,Ryan King,Judges 13:1-5,Sun Nov 28 2021 00:00:00 GMT+0000 (Greenwich Mean Time),28 November 2021,,Ktni8KqVc-M,235,
Serving in the Spirit of Brotherhood,Charles Efedua,Romans 12:9-21,Sun Nov 21 2021 00:00:00 GMT+0000 (Greenwich Mean Time),21 November 2021,,iflf7Teh4vc,234,https://open.spotify.com/episode/7htteG3mfEYdu1CamubFQZ
Chosen to Obey Jesus,Israel Silva,1 Peter 1:1-2,Sun Nov 21 2021 00:00:00 GMT+0000 (Greenwich Mean Time),21 November 2021,,RClGbmOv8-k,233,https://open.spotify.com/episode/5xAbEROj6hxWcSX4BqbSwn
Thinking About the Body,Charles Efedua,Romans 12:3-8,Sun Nov 14 2021 00:00:00 GMT+0000 (Greenwich Mean Time),14 November 2021,,92VqyOg0XzI,232,https://open.spotify.com/episode/15lAVgXGNBmfvG5itxb87B
Expecting - Good News of Great Joy: Isaac,Ryan King,Genesis 17:15-21,Sun Nov 14 2021 00:00:00 GMT+0000 (Greenwich Mean Time),14 November 2021,,vM_YnxmjKSs,231,
"Prepared for a Fight, but Weeping for Their Crown",Grayson Furnham,2 Timothy 3-4:4,Tue Nov 09 2021 00:00:00 GMT+0000 (Greenwich Mean Time),09 November 2021,,9xHB9zlaZOI,230,https://open.spotify.com/episode/1gs93MmNkXqWwXYpysGg4F
Expecting - Good News of Great Joy: Ishmael,Ryan King,Genesis 16,Sun Nov 07 2021 00:00:00 GMT+0000 (Greenwich Mean Time),07 November 2021,,dcaX0F7arXo,229,
Beliefs of a Reformational Church: Glory to God,Ryan King,Ephesians 3:14-21,Sun Oct 31 2021 00:00:00 GMT+0100 (British Summer Time),31 October 2021,,TtsvhO-hcfY,228,https://open.spotify.com/episode/5gJt2LmyMjIUQAYv00cyGv
Beliefs of a Reformational Church: Christ,Ryan King,Hebrews 10:1-10,Sun Oct 24 2021 00:00:00 GMT+0100 (British Summer Time),24 October 2021,,2-Xi_2IovV4,227,https://open.spotify.com/episode/1XkowoXonf8pdhoizCKYyr
The Baptism of Jesus,Charles Efedua,Matthew 3:13-17,Sun Oct 17 2021 00:00:00 GMT+0100 (British Summer Time),17 October 2021,,5_32YJJuFp8,226,https://open.spotify.com/episode/5QFgMdU5cRiKFoK7bmvTGU
Beliefs of a Reformational Church: Grace,Ryan King,Ephesians 2:8-10,Sun Oct 17 2021 00:00:00 GMT+0100 (British Summer Time),17 October 2021,,WxkaWs3jwXI,225,https://open.spotify.com/episode/6fLIcylops6rS3lzInlra2
An Unexpected Kindness,Charles Efedua,2 Samuel 9,Sun Oct 10 2021 00:00:00 GMT+0100 (British Summer Time),10 October 2021,,gMma0XqGzic,224,https://open.spotify.com/episode/008zgMnpiiGXmNqDhMV8Ww
Beliefs of a Reformational Church: Faith,Ryan King,Galatians 2:15-17,Sun Oct 10 2021 00:00:00 GMT+0100 (British Summer Time),10 October 2021,,LVWZpqyTPGE,223,https://open.spotify.com/episode/3bfiZnfurD9chDaBDQelXz
Beliefs of a Reformational Church: Scripture,Ryan King,2 Timothy 3:15-17,Sun Oct 03 2021 00:00:00 GMT+0100 (British Summer Time),03 October 2021,,NyAXnn6aTCE,222,https://open.spotify.com/episode/0mAxFViIjq8HFq6ja4J2nz
Why We Go: Social Action,Ryan King,James 2:14-26,Sun Sep 26 2021 00:00:00 GMT+0100 (British Summer Time),26 September 2021,,rXyQl9xeIrA,221,https://open.spotify.com/episode/0bYyv12BURDX811XZ6rw5b
"The Law, Love and Commandments",Michael Ndebumadu,Romans 13:8-10,Sun Sep 19 2021 00:00:00 GMT+0100 (British Summer Time),19 September 2021,,8A8uVIdKxKU,220,https://open.spotify.com/episode/6YAiFlK1LpflIEYaBsP7tM
"Dead in Sin, Made Alive in Christ",Israel Silva,Ephesians 2:1-6,Sun Sep 19 2021 00:00:00 GMT+0100 (British Summer Time),19 September 2021,,EXPaiKL09mc,219,https://open.spotify.com/episode/2y2OJZfPF7oZ0ivQAX9slG
Getting to the Heart of Forgiveness,Charles Efedua,Matthew 6:14-15,Sun Sep 12 2021 00:00:00 GMT+0100 (British Summer Time),12 September 2021,,dzsdM30WDhE,218,
Why We Go: Personal & Public Evangelism,Ryan King,John 4:1-42,Sun Sep 12 2021 00:00:00 GMT+0100 (British Summer Time),12 September 2021,,OrOWmWR8NkM,217,
Why We Gather,Ryan King,Hebrews 10:19-25,Sun Sep 05 2021 00:00:00 GMT+0100 (British Summer Time),05 September 2021,,r8xWW51rbrs,216,
Lead Us Not Into Temptation,Charles Efedua,Matthew 6:13,Sun Aug 22 2021 00:00:00 GMT+0100 (British Summer Time),22 August 2021,,OiG7zG1--Eg,215,
The End of the Matter,Adrian Yeboah,Ecclesiastes 12:9-14,Sun Aug 22 2021 00:00:00 GMT+0100 (British Summer Time),22 August 2021,,OVImVU3psXY,214,
